Name,Score,Episodes,Air Date,Source,Studio,id,Genre
Dragon Ball Z,8.18,291,"Apr 26, 1989 to Jan 31, 1996",Funimation,Toei Animation,813,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Martial Arts', 'Shounen', 'Super Power']"
Scissor Seven,8.23,10,"Oct 23, 2019 to Jan 1, 2020",Original,40784,"['Action', 'Mystery', 'Comedy', 'Super Power', 'Drama', 'Martial Arts']"
Fullmetal Alchemist,8.20,51,"Oct 4, 2003 to Oct 2, 2004","Funimation,       Aniplex of America",Bones,121,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Magic', 'Military', 'Shounen']"
My Teen Romantic Comedy SNAFU,8.08,13,"Apr 5, 2013 to Jun 28, 2013",Sentai Filmworks,Brain's Base,14813,"['Slice of Life', 'Comedy', 'Drama', 'Romance', 'School']"
Star Blazers: Space Battleship Yamato 2202,7.74,26,"Feb 25, 2017 to Mar 1, 2019",Original,Xebec,33064,"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']"
Astra Lost in Space,8.19,12,"Jul 3, 2019 to Sep 18, 2019",Funimation,Lerche,39198,"['Sci-Fi', 'Adventure', 'Space', 'Shounen']"
Les Misérables: Shoujo Cosette,7.89,52,"Jan 7, 2007 to Dec 30, 2007","None found, add some",Nippon Animation,1695,"['Slice of Life', 'Historical', 'Drama', 'Shoujo']"
Banana Fish,8.35,24,"Jul 6, 2018 to Dec 21, 2018","None found, add some",MAPPA,36649,"['Action', 'Adventure', 'Drama', 'Shoujo']"
Nisemonogatari,8.19,11,"Jan 8, 2012 to Mar 18, 2012",Aniplex of America,Shaft,11597,"['Mystery', 'Comedy', 'Supernatural', 'Ecchi']"
Maid Sama!,8.08,26,"Apr 2, 2010 to Sep 24, 2010",Sentai Filmworks,J.C.Staff,7054,"['Comedy', 'Romance', 'School', 'Shoujo']"
You Are Umasou,8.03,1,"Oct 16, 2010",Picture book,Ajia-Do,9204,"['Action', 'Adventure', 'Fantasy', 'Kids']"
Space Dandy 2nd Season,8.26,13,"Jul 6, 2014 to Sep 25, 2014",Funimation,Bones,23327,"['Space', 'Comedy', 'Sci-Fi']"
Mobile Suit Gundam: The 08th MS Team,8.03,12,"Jan 25, 1996 to Jul 25, 1999",Original,Sunrise,81,"['Military', 'Sci-Fi', 'Adventure', 'Drama', 'Romance', 'Mecha']"
Hozuki's Coolheadedness,7.81,13,"Jan 10, 2014 to Apr 4, 2014",Sentai Filmworks,Wit Studio,20431,"['Comedy', 'Demons', 'Supernatural', 'Fantasy', 'Seinen']"
Saenai Heroine no Sodatekata Fine,7.90,1,"Oct 26, 2019",Light novel,CloverWorks,36885,"['Harem', 'Comedy', 'Romance', 'Ecchi', 'School']"
